START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
1000,2000,3.377639498112823,0.31913371996191975,0.027929964101590404,0.034146772690139084,
1000,2000,0.3208072785466615,0.055333734693413905,0.2860813390104243,0.2528463872228552,
1000,2000,0.23964404294406147,0.06862441324070669,0.3578767209483778,0.17295285359801488,
1000,2000,0.1967226434018614,0.06783543359726714,0.39473920913864247,0.19417612654342323,
1000,2000,0.22532692166928162,0.07304589690708886,0.3986846032130369,0.20000056495738808,
10000,20000,0.8588154073850591,0.1586522623549466,0.7255088473279215,0.512703430404058,
10000,20000,1.2058273011521823,0.17365219228379025,0.8238443406234043,0.46541725820350527,
10000,20000,1.1769611268628515,0.2622307559154675,0.8167597716254764,0.7479879434256047,
10000,20000,1.1518180631769963,0.19683089610798546,0.8252280210422739,1.0502905628693426,
10000,20000,1.188513651187178,0.2691735365270564,0.8593992624036447,0.8782290091740516,
100000,200000,2.3408280484969466,0.5068170264228343,0.9082702002478534,1.8656005177586548,
100000,200000,2.12537693151669,0.4160074450580923,0.9632331145082121,2.2199740607555944,
100000,200000,3.2934547212450163,0.5954936808280143,0.9573051689853073,2.259292597990682,
100000,200000,3.3687885916576867,0.6157541946037108,0.957900048972893,2.5948667142145068,
100000,200000,3.23199327762804,0.6242630845665399,0.9667786842533094,2.051144435002206,
1000000,2000000,3.514506635693013,1.4210829410510406,0.9855295336960656,3.073749118300757,
1000000,2000000,3.519729813870551,1.671682960810965,0.9678410175163471,3.2055348289799945,
1000000,2000000,3.624065795666384,0.7453561531429691,0.9785146073404168,3.1921817528471843,
1000000,2000000,3.6148263716882627,1.572081095794525,0.9555824791151267,3.203334201428244,
1000000,2000000,3.6198151493661452,1.5237399529558957,0.9767320517400923,3.1489375075608192,
10000000,20000000,3.7481131492805004,1.747108968828307,0.9995925462439207,3.2660744890499163,
10000000,20000000,3.6959507771055042,2.1778034964921766,0.9950908007191515,2.4705902063178558,
10000000,20000000,3.6929968179658577,1.9179859922061362,0.9891414397309019,2.4762996783486213,
10000000,20000000,3.6850171474107065,1.634481983623796,0.9996034636350527,3.160641051147754,
10000000,20000000,3.1410161892413484,1.4712664829991922,1.0069228441485898,3.1612350066503985,
1000,2000,1.758723902128723,0.2539591647802175,0.024393170885814892,0.023739355181293373,
